2025-06-23 16:23:34,115 - PERF - FILE_PROCESSING_TIME: Current=5073.49ms, Average=8464.59ms, Total_Files=61
2025-06-23 16:23:34,115 - PERF - FILE_PROCESSING_TIME: Current=5073.49ms, Average=8464.59ms, Total_Files=61
2025-06-23 16:23:34,115 - PERF - FILE_PROCESSING_TIME: Current=5073.49ms, Average=8464.59ms, Total_Files=61
2025-06-23 16:23:34,115 - PERF - FILE_PROCESSING_TIME: Current=5073.49ms, Average=8464.59ms, Total_Files=61
2025-06-23 16:23:34,115 - PERF - FILE_PROCESSING_TIME: Current=5073.49ms, Average=8464.59ms, Total_Files=61
2025-06-23 16:23:34,115 - PERF - FILE_PROCESSING_TIME: Current=5073.49ms, Average=8464.59ms, Total_Files=61
2025-06-23 16:23:34,115 - PERF - FILE_PROCESSING_TIME: Current=5073.49ms, Average=8464.59ms, Total_Files=61
2025-06-23 16:23:34,115 - PERF - FILE_PROCESSING_TIME: Current=5073.49ms, Average=8464.59ms, Total_Files=61
2025-06-23 16:23:34,115 - PERF - FILE_PROCESSING_TIME: Current=5073.49ms, Average=8464.59ms, Total_Files=61
2025-06-23 16:23:34,115 - PERF - FILE_PROCESSING_TIME: Current=5073.49ms, Average=8464.59ms, Total_Files=61
2025-06-23 16:23:34,115 - PERF - FILE_PROCESSING_TIME: Current=5073.49ms, Average=8464.59ms, Total_Files=61
2025-06-23 16:23:34,115 - PERF - FILE_PROCESSING_TIME: Current=5073.49ms, Average=8464.59ms, Total_Files=61
2025-06-23 16:23:34,115 - PERF - FILE_PROCESSING_TIME: Current=5073.49ms, Average=8464.59ms, Total_Files=61
2025-06-23 16:23:34,115 - PERF - FILE_PROCESSING_TIME: Current=5073.49ms, Average=8464.59ms, Total_Files=61
2025-06-23 16:23:34,115 - PERF - FILE_PROCESSING_TIME: Current=5073.49ms, Average=8464.59ms, Total_Files=61
2025-06-23 16:23:39,652 - PERF - FILE_PROCESSING_TIME: Current=5480.12ms, Average=8416.45ms, Total_Files=62
2025-06-23 16:23:39,652 - PERF - FILE_PROCESSING_TIME: Current=5480.12ms, Average=8416.45ms, Total_Files=62
2025-06-23 16:23:39,652 - PERF - FILE_PROCESSING_TIME: Current=5480.12ms, Average=8416.45ms, Total_Files=62
2025-06-23 16:23:39,652 - PERF - FILE_PROCESSING_TIME: Current=5480.12ms, Average=8416.45ms, Total_Files=62
2025-06-23 16:23:39,652 - PERF - FILE_PROCESSING_TIME: Current=5480.12ms, Average=8416.45ms, Total_Files=62
2025-06-23 16:23:39,652 - PERF - FILE_PROCESSING_TIME: Current=5480.12ms, Average=8416.45ms, Total_Files=62
2025-06-23 16:23:39,652 - PERF - FILE_PROCESSING_TIME: Current=5480.12ms, Average=8416.45ms, Total_Files=62
2025-06-23 16:23:39,652 - PERF - FILE_PROCESSING_TIME: Current=5480.12ms, Average=8416.45ms, Total_Files=62
2025-06-23 16:23:39,652 - PERF - FILE_PROCESSING_TIME: Current=5480.12ms, Average=8416.45ms, Total_Files=62
2025-06-23 16:23:39,652 - PERF - FILE_PROCESSING_TIME: Current=5480.12ms, Average=8416.45ms, Total_Files=62
2025-06-23 16:23:39,652 - PERF - FILE_PROCESSING_TIME: Current=5480.12ms, Average=8416.45ms, Total_Files=62
2025-06-23 16:23:39,652 - PERF - FILE_PROCESSING_TIME: Current=5480.12ms, Average=8416.45ms, Total_Files=62
2025-06-23 16:23:39,652 - PERF - FILE_PROCESSING_TIME: Current=5480.12ms, Average=8416.45ms, Total_Files=62
2025-06-23 16:23:39,652 - PERF - FILE_PROCESSING_TIME: Current=5480.12ms, Average=8416.45ms, Total_Files=62
2025-06-23 16:23:39,652 - PERF - FILE_PROCESSING_TIME: Current=5480.12ms, Average=8416.45ms, Total_Files=62
2025-06-23 16:23:39,652 - PERF - FILE_PROCESSING_TIME: Current=5480.12ms, Average=8416.45ms, Total_Files=62
2025-06-23 16:23:39,652 - PERF - FILE_PROCESSING_TIME: Current=5480.12ms, Average=8416.45ms, Total_Files=62
2025-06-23 16:23:39,652 - PERF - FILE_PROCESSING_TIME: Current=5480.12ms, Average=8416.45ms, Total_Files=62
2025-06-23 16:23:39,652 - PERF - FILE_PROCESSING_TIME: Current=5480.12ms, Average=8416.45ms, Total_Files=62
2025-06-23 16:23:39,652 - PERF - FILE_PROCESSING_TIME: Current=5480.12ms, Average=8416.45ms, Total_Files=62
2025-06-23 16:23:43,913 - PERF - FILE_PROCESSING_TIME: Current=4069.85ms, Average=8347.46ms, Total_Files=63
2025-06-23 16:23:43,913 - PERF - FILE_PROCESSING_TIME: Current=4069.85ms, Average=8347.46ms, Total_Files=63
2025-06-23 16:23:43,913 - PERF - FILE_PROCESSING_TIME: Current=4069.85ms, Average=8347.46ms, Total_Files=63
2025-06-23 16:23:43,913 - PERF - FILE_PROCESSING_TIME: Current=4069.85ms, Average=8347.46ms, Total_Files=63
2025-06-23 16:23:43,913 - PERF - FILE_PROCESSING_TIME: Current=4069.85ms, Average=8347.46ms, Total_Files=63
2025-06-23 16:23:43,913 - PERF - FILE_PROCESSING_TIME: Current=4069.85ms, Average=8347.46ms, Total_Files=63
2025-06-23 16:23:43,913 - PERF - FILE_PROCESSING_TIME: Current=4069.85ms, Average=8347.46ms, Total_Files=63
2025-06-23 16:23:43,913 - PERF - FILE_PROCESSING_TIME: Current=4069.85ms, Average=8347.46ms, Total_Files=63
2025-06-23 16:23:43,913 - PERF - FILE_PROCESSING_TIME: Current=4069.85ms, Average=8347.46ms, Total_Files=63
2025-06-23 16:23:43,913 - PERF - FILE_PROCESSING_TIME: Current=4069.85ms, Average=8347.46ms, Total_Files=63
2025-06-23 16:23:43,913 - PERF - FILE_PROCESSING_TIME: Current=4069.85ms, Average=8347.46ms, Total_Files=63
2025-06-23 16:23:43,913 - PERF - FILE_PROCESSING_TIME: Current=4069.85ms, Average=8347.46ms, Total_Files=63
2025-06-23 16:23:43,913 - PERF - FILE_PROCESSING_TIME: Current=4069.85ms, Average=8347.46ms, Total_Files=63
2025-06-23 16:23:43,913 - PERF - FILE_PROCESSING_TIME: Current=4069.85ms, Average=8347.46ms, Total_Files=63
2025-06-23 16:23:43,913 - PERF - FILE_PROCESSING_TIME: Current=4069.85ms, Average=8347.46ms, Total_Files=63
2025-06-23 16:23:43,913 - PERF - FILE_PROCESSING_TIME: Current=4069.85ms, Average=8347.46ms, Total_Files=63
2025-06-23 16:23:43,913 - PERF - FILE_PROCESSING_TIME: Current=4069.85ms, Average=8347.46ms, Total_Files=63
2025-06-23 16:23:43,913 - PERF - FILE_PROCESSING_TIME: Current=4069.85ms, Average=8347.46ms, Total_Files=63
2025-06-23 16:23:43,913 - PERF - FILE_PROCESSING_TIME: Current=4069.85ms, Average=8347.46ms, Total_Files=63
2025-06-23 16:23:43,913 - PERF - FILE_PROCESSING_TIME: Current=4069.85ms, Average=8347.46ms, Total_Files=63
2025-06-23 16:23:49,631 - PERF - FILE_PROCESSING_TIME: Current=5629.88ms, Average=8304.99ms, Total_Files=64
2025-06-23 16:23:49,631 - PERF - FILE_PROCESSING_TIME: Current=5629.88ms, Average=8304.99ms, Total_Files=64
2025-06-23 16:23:49,631 - PERF - FILE_PROCESSING_TIME: Current=5629.88ms, Average=8304.99ms, Total_Files=64
2025-06-23 16:23:49,631 - PERF - FILE_PROCESSING_TIME: Current=5629.88ms, Average=8304.99ms, Total_Files=64
2025-06-23 16:23:49,631 - PERF - FILE_PROCESSING_TIME: Current=5629.88ms, Average=8304.99ms, Total_Files=64
2025-06-23 16:23:49,631 - PERF - FILE_PROCESSING_TIME: Current=5629.88ms, Average=8304.99ms, Total_Files=64
2025-06-23 16:23:49,631 - PERF - FILE_PROCESSING_TIME: Current=5629.88ms, Average=8304.99ms, Total_Files=64
2025-06-23 16:23:49,631 - PERF - FILE_PROCESSING_TIME: Current=5629.88ms, Average=8304.99ms, Total_Files=64
2025-06-23 16:23:49,631 - PERF - FILE_PROCESSING_TIME: Current=5629.88ms, Average=8304.99ms, Total_Files=64
2025-06-23 16:23:49,631 - PERF - FILE_PROCESSING_TIME: Current=5629.88ms, Average=8304.99ms, Total_Files=64
2025-06-23 16:23:49,631 - PERF - FILE_PROCESSING_TIME: Current=5629.88ms, Average=8304.99ms, Total_Files=64
2025-06-23 16:23:49,631 - PERF - FILE_PROCESSING_TIME: Current=5629.88ms, Average=8304.99ms, Total_Files=64
2025-06-23 16:23:49,631 - PERF - FILE_PROCESSING_TIME: Current=5629.88ms, Average=8304.99ms, Total_Files=64
2025-06-23 16:23:49,631 - PERF - FILE_PROCESSING_TIME: Current=5629.88ms, Average=8304.99ms, Total_Files=64
2025-06-23 16:23:49,631 - PERF - FILE_PROCESSING_TIME: Current=5629.88ms, Average=8304.99ms, Total_Files=64
2025-06-23 16:23:49,631 - PERF - FILE_PROCESSING_TIME: Current=5629.88ms, Average=8304.99ms, Total_Files=64
2025-06-23 16:23:49,631 - PERF - FILE_PROCESSING_TIME: Current=5629.88ms, Average=8304.99ms, Total_Files=64
2025-06-23 16:23:49,631 - PERF - FILE_PROCESSING_TIME: Current=5629.88ms, Average=8304.99ms, Total_Files=64
2025-06-23 16:23:49,631 - PERF - FILE_PROCESSING_TIME: Current=5629.88ms, Average=8304.99ms, Total_Files=64
2025-06-23 16:23:49,631 - PERF - FILE_PROCESSING_TIME: Current=5629.88ms, Average=8304.99ms, Total_Files=64
2025-06-23 16:23:51,376 - PERF - FILE_PROCESSING_TIME: Current=1481.26ms, Average=8200.01ms, Total_Files=65
2025-06-23 16:23:51,376 - PERF - FILE_PROCESSING_TIME: Current=1481.26ms, Average=8200.01ms, Total_Files=65
2025-06-23 16:23:51,376 - PERF - FILE_PROCESSING_TIME: Current=1481.26ms, Average=8200.01ms, Total_Files=65
2025-06-23 16:23:51,376 - PERF - FILE_PROCESSING_TIME: Current=1481.26ms, Average=8200.01ms, Total_Files=65
2025-06-23 16:23:51,376 - PERF - FILE_PROCESSING_TIME: Current=1481.26ms, Average=8200.01ms, Total_Files=65
2025-06-23 16:23:51,376 - PERF - FILE_PROCESSING_TIME: Current=1481.26ms, Average=8200.01ms, Total_Files=65
2025-06-23 16:23:51,376 - PERF - FILE_PROCESSING_TIME: Current=1481.26ms, Average=8200.01ms, Total_Files=65
2025-06-23 16:23:51,376 - PERF - FILE_PROCESSING_TIME: Current=1481.26ms, Average=8200.01ms, Total_Files=65
2025-06-23 16:23:51,376 - PERF - FILE_PROCESSING_TIME: Current=1481.26ms, Average=8200.01ms, Total_Files=65
2025-06-23 16:23:51,376 - PERF - FILE_PROCESSING_TIME: Current=1481.26ms, Average=8200.01ms, Total_Files=65
2025-06-23 16:23:51,376 - PERF - FILE_PROCESSING_TIME: Current=1481.26ms, Average=8200.01ms, Total_Files=65
2025-06-23 16:23:51,376 - PERF - FILE_PROCESSING_TIME: Current=1481.26ms, Average=8200.01ms, Total_Files=65
2025-06-23 16:23:51,376 - PERF - FILE_PROCESSING_TIME: Current=1481.26ms, Average=8200.01ms, Total_Files=65
2025-06-23 16:23:51,376 - PERF - FILE_PROCESSING_TIME: Current=1481.26ms, Average=8200.01ms, Total_Files=65
2025-06-23 16:23:51,376 - PERF - FILE_PROCESSING_TIME: Current=1481.26ms, Average=8200.01ms, Total_Files=65
2025-06-23 16:23:51,376 - PERF - FILE_PROCESSING_TIME: Current=1481.26ms, Average=8200.01ms, Total_Files=65
2025-06-23 16:23:51,376 - PERF - FILE_PROCESSING_TIME: Current=1481.26ms, Average=8200.01ms, Total_Files=65
2025-06-23 16:23:51,376 - PERF - FILE_PROCESSING_TIME: Current=1481.26ms, Average=8200.01ms, Total_Files=65
2025-06-23 16:23:51,376 - PERF - FILE_PROCESSING_TIME: Current=1481.26ms, Average=8200.01ms, Total_Files=65
